DIRETOR,ANO_MAIS_RECENTE,N_FILMES,PRESTIGIO_FESTIV,CITA_N_PAPERS,CITA_SOMA_CIT,CITA_MAX_CIT,CITA_VENUES
ESMIR FILHO,2005,1,,16.0,4.0,2.0,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Revista Internacional Interdisciplinar INTERthesis | Dialnet (Universidad de la Rioja)
CARLOS CAMARA DE CARVALHO COLLA,2024,9,,6.0,4.0,4.0,Revista de Medicina y Cine | UCA Research Online (University for the Creative Arts) | Revista de Ciências Humanas
FELIPE XAVIER DE CASTRO SANTOS,2015,6,,1.0,3.0,3.0,EES solar.
ERLY MILTON VIEIRA JUNIOR,2023,12,,17.0,3.0,2.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Aniki Revista Portuguesa da Imagem em Movimento | Lume (Universidade Federal do Rio Grande do Sul)
BRUNO VOUZELLA DE ANDRADE,2024,4,,3.0,3.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Comunicação & Educação
ELIANA FONSECA,2024,19,,4.0,3.0,2.0,Lume (Universidade Federal do Rio Grande do Sul)
EDUARDO CANTARINO CORDEIRO DE ARAUJO,2022,2,,3.0,3.0,3.0,Fotocinema Revista científica de cine y fotografía | Manuscrítica Revista de Crítica Genética | Revista Caribeña de Ciencias Sociales
CAIO CHATAGNIER CAVECHINI,2025,9,,9.0,3.0,2.0,Intercom Revista Brasileira de Ciências da Comunicação | INTERIN | Cadernos Pagu
CAMILA ALBRECHT FREITAS,2017,2,,5.0,3.0,2.0,COMMONS | Revista ECO-Pós | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual
AURELIO GRIMALDI,2015,1,,3.0,3.0,2.0,eCommons (Cornell University) | Archivio Istituzionale della Ricerca (Universita Degli Studi Di Milano) | IRIS UNIMORE (University of Modena and Reggio Emilia)
BRUNO MARQUES DE ANDRADE E SILVA,2023,5,,3.0,3.0,3.0,Aniki Revista Portuguesa da Imagem em Movimento | Comunicação & Educação
CAMILA SILVA FREITAS,2019,1,,5.0,3.0,2.0,COMMONS | Revista ECO-Pós | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual
CAROLINA DE MELLO JABOR,2024,9,,10.0,3.0,2.0,Alphaville Journal of Film and Screen Media | Esferas | Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual
ARTHUR VICENTINI TUOTO,2023,6,,5.0,3.0,3.0,Rebeca - Revista Brasileira de Estudos de Cinema e Audiovisual | Lume (Universidade Federal do Rio Grande do Sul) | SHILAP Revista de lepidopterología
FELIPE CARELI DE CASTRO,2023,7,,1.0,3.0,3.0,EES solar.
CLARA DE MELO E SILVA,2022,1,,4.0,3.0,3.0,RIHC Revista Internacional de Historia de la Comunicación | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas) | Logos
BRUNO HENRIQUE DA SILVA,2014,2,,5.0,2.0,1.0,Interactive Film and Media Journal | Portuguese Literary and Cultural Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
BRUNO GARCIA DA SILVA,2024,1,,5.0,2.0,1.0,Interactive Film and Media Journal | Portuguese Literary and Cultural Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
BRUNO FERNANDO DA SILVA,2023,1,,5.0,2.0,1.0,Interactive Film and Media Journal | Portuguese Literary and Cultural Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
BRUNO MARQUES DA SILVA PEREIRA,2023,1,,5.0,2.0,1.0,Interactive Film and Media Journal | Portuguese Literary and Cultural Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
BRUNO DE SOUSA E SILVA VERGUEIRO,2019,3,,5.0,2.0,1.0,Interactive Film and Media Journal | Portuguese Literary and Cultural Studies | LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
DAVID RIBEIRO SCHURMANN,2025,12,Oscar,3.0,2.0,2.0,Anuario electrónico de estudios en Comunicación Social Disertaciones | Anagrama
