cpb,titulo,titulo_norm,pontuacao_total,n_festivais,lista_festivais,fonte
B1900035900000,SOLDADO ESTRANGEIRO,soldado estrangeiro,6.0,2,Docs MX - Festival Internacional de Documentário da Cidade do México | É Tudo Verdade,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800097300000,MEIO IRMÃO,meio irmao,5.5,2,Festival Internacional de Cinema da Fronteira | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100445800000,MAR DE DENTRO,mar de dentro,5.5,2,Cine Las Americas International Film Festival | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600439300000,A COMÉDIA DIVINA,a comedia divina,5.5,3,FANTASPORTO - Festival Internacional de Cinema do Porto | Festival de Cinema Brasileiro de Miami | Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000319500000,NHEENGATU,nheengatu,5.5,4,DOCLISBOA - Festival Internatcional de Cinema | Festival du Film Brésilien de Montreal | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600639200000,UM CASAMENTO,um casamento,5.5,2,Mostra Internacional de Cinema de São Paulo | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900536300000,FLORES DO CÁRCERE,flores do carcere,5.5,2,FESTIN Lisboa | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200285200000,BEM-VINDA A QUIXERAMOBIM,bem-vinda a quixeramobim,5.5,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600737300000,BYE BYE JAQUELINE,bye bye jaqueline,5.5,2,FESTIN Lisboa | Festival Internacional de Cinema de Durban,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800187200000,RAIVA,raiva,5.0,3,Festival do Rio | Festival Internacional de Cinema de Munique (Filmfest München) | INDIELISBOA - Festival Internacional de Cinema Independente,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800428900000,NÓIS POR NÓIS,nois por nois,5.0,2,Festival do Rio | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800269200000,MULHERES ALTERADAS,mulheres alteradas,5.0,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Cine PE - Fetival Audiovisual do Recife,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700244500000,DIVÓRCIO,divorcio,4.5,2,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro] | Festival de Cinema Brasileiro de Miami,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100458300000,AS VERDADES,as verdades,4.5,2,Chicago Latino Film Festival | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100120000000,PEDRO E INÊS,pedro e ines,4.5,3,Festival do Rio | Festival Internacional de Cinema da Fronteira | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900108800000,OS JOVENS BAUMANN,os jovens baumann,4.5,3,Festival de Brasília | INDIELISBOA - Festival Internacional de Cinema Independente | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700052000000,FILHOS DE BACH,filhos de bach,4.5,3,Festival do Rio | Festival Internacional do Novo Cinema Latino-americano (Festival de Havana) | Mostra de Cinema de Ouro Preto – CineOP,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000488900000,10 HORAS PARA O NATAL,10 horas para o natal,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700339700000,HISTORIETAS ASSOMBRADAS - O FILME,historietas assombradas - o filme,4.0,1,Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100282100000,A PRIMEIRA MORTE DE JOANA,a primeira morte de joana,4.0,1,Festival de Gramado,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900157600000,KARDEC,kardec,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100072000000,LIBELU - ABAIXO A DITADURA,libelu - abaixo a ditadura,4.0,1,É Tudo Verdade,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800449100000,INTIMIDADE ENTRE ESTRANHOS,intimidade entre estranhos,4.0,2,Festival do Rio | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200048000000,ALEMÃO 2,alemao 2,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2200421500000,O AMOR DÁ VOLTAS,o amor da voltas,4.0,1,Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700170200000,MAL NOSSO,mal nosso,4.0,1,Sitges - Festival Internacional de Cinema Fantástico da Catalunha,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900576900000,MINHA MÃE É UMA PEÇA 3,minha mae e uma peca 3,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900148000000,CORA,cora,4.0,1,Festival do Rio,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100278800000,UM CASAL INSEPARÁVEL,um casal inseparavel,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100018500000,DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO,detetives do predio azul 3 - uma aventura no fim do mundo,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000523200000,A MESMA PARTE DE UM HOMEM,a mesma parte de um homem,4.0,2,Festival de Cinema de Vitória | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800380700000,10 SEGUNDOS PARA VENCER,10 segundos para vencer,4.0,1,Festival de Gramado,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100277700000,LA TEORIA DE LOS VIDRIOS ROTOS,la teoria de los vidrios rotos,4.0,1,Festival de Gramado,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800440700000,O BARCO,o barco,4.0,2,Cine Ceará | Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800397100000,O DOUTRINADOR - O FILME,o doutrinador - o filme,4.0,1,Academia Brasileira de Cinema [Grande Prêmio do Cinema Brasileiro],"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000044900000,PARA ONDE VOAM AS FEITICEIRAS,para onde voam as feiticeiras,3.5,2,Festival do Rio | Festival Mix Brasil de Cultura da Diversidade,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900189800000,EMPATE,empate,3.5,3,FestCine Amazônia | Festival Internacional de Cinema de Valdivia | Mostra de Cinema de Tiradentes (Minas Gerais),"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700590500000,PAULISTAS,paulistas,3.0,2,Festival Internacional de Documentários e Animação de Leipzig | Olhar de Cinema - Festival Internacional de Curitiba,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900583000000,SERIAL KELLY,serial kelly,3.0,2,Festival de Cinema de Vitória | Festival de Cinema e Cultura da América Latina de Biarritz,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1700123200000,EXODUS - DE ONDE VIM NÃO EXISTE MAIS,exodus - de onde vim nao existe mais,2.0,1,Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800215300000,UMA VIAGEM INESPERADA,uma viagem inesperada,2.0,1,Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900302000000,BONI BONITA,boni bonita,2.0,2,Cine Las Americas International Film Festival | FESTIN Lisboa,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1600043800000,TÔ RYCA!,to ryca!,2.0,1,Festival Internacional de Cinema de Miami,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900508000000,"PIXINGUINHA, UM HOMEM CARINHOSO","pixinguinha, um homem carinhoso",2.0,2,FESTIN Lisboa | Festival de Cinema Brésilien de Paris,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1900205100000,FOTOGRAFAÇÃO,fotografacao,2.0,1,É Tudo Verdade,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000259000000,ZONA ÁRIDA,zona arida,2.0,1,Festival Internacional de Documentários e Animação de Leipzig,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100367400000,CURUPIRA O DEMÔNIO DA FLORESTA,curupira o demonio da floresta,2.0,1,Festival Guarnicê de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800073300000,CANASTRA SUJA,canastra suja,2.0,1,Mostra Internacional de Cinema de São Paulo,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B1800202200000,DÊ LEMBRANÇAS A TODOS,de lembrancas a todos,1.5,3,Festival de Cinema Brésilien de Paris | Festival du Film Brésilien de Montreal | Panorama Internacional Coisa de Cinema,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100241700000,ESCRITA ÍNTIMA,escrita intima,1.0,1,INDIELISBOA - Festival Internacional de Cinema Independente,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2100070100000,O SILÊNCIO DA CHUVA,o silencio da chuva,1.0,1,Cine Ceará,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
B2000454300000,AMARRAÇÃO DO AMOR,amarracao do amor,0.5,1,Festival de Cinema Brasileiro de Miami,"Ata BRDE/FSA Desempenho Artístico 2024 (ANCINE, 26/09/2024)"
,Ainda Estou Aqui,ainda estou aqui,275.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Central do Brasil,central do brasil,351.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Cidade de Deus,cidade de deus,242.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,A Vida Invisível de Eurídice Gusmão,a vida invisivel de euridice gusmao,58.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Aquarius,aquarius,56.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Menino e o Mundo,o menino e o mundo,164.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Que Horas Ela Volta?,que horas ela volta?,76.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Tropa de Elite,tropa de elite,66.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Linha de Passe,linha de passe,41.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Madame Satã,madame sata,33.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Pagador de Promessas,o pagador de promessas,55.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Deus e o Diabo na Terra do Sol,deus e o diabo na terra do sol,28.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Dragão da Maldade Contra o Santo Guerreiro,o dragao da maldade contra o santo guerreiro,25.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Lavoura Arcaica,lavoura arcaica,43.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Boi Neon,boi neon,33.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Som ao Redor,o som ao redor,56.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Carandiru,carandiru,34.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Ano em que Meus Pais Saíram de Férias,o ano em que meus pais sairam de ferias,28.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Pixote: A Lei do Mais Fraco,pixote: a lei do mais fraco,24.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,"Eu, Tu, Eles","eu, tu, eles",13.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Levante,levante,36.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,MEDUSA,medusa,58.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Regra 34,regra 34,98.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Marinheiro das Montanhas,o marinheiro das montanhas,26.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Motel Destino,motel destino,28.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Retratos Fantasmas,retratos fantasmas,18.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Uma História de Amor e Fúria,uma historia de amor e furia,103.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Democracia em Vertigem,democracia em vertigem,46.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Mato Seco em Chamas,mato seco em chamas,68.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Corpo Elétrico,corpo eletrico,26.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Baby,baby,23.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,O Céu de Suely,o ceu de suely,28.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,"Viajo Porque Preciso, Volto Porque Te Amo","viajo porque preciso, volto porque te amo",28.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Sem Coração,sem coracao,16.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,A Paixão Segundo G.H.,a paixao segundo g.h.,28.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,LEGENDA DE PONTUAÇÃO TOTAL,legenda de pontuacao total,0.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,≥ 150 pts,≥ 150 pts,0.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,80–149 pts,80–149 pts,0.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,40–79 pts,40–79 pts,0.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,< 40 pts,< 40 pts,0.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,A FLOR DO BURITI,a flor do buriti,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU,babenco - alguem tem que ouvir o coracao e dizer: parou,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,CABEÇA DE NÊGO,cabeca de nego,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,CASA,casa,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,ENSAIO SOBRE A CEGUEIRA,ensaio sobre a cegueira,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,FANTASMA,fantasma,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,GARAPA,garapa,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,LIXO EXTRAORDINÁRIO,lixo extraordinario,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,PACTO DE SANGUE,pacto de sangue,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,PARA MINHA AMADA MORTA,para minha amada morta,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,PEDÁGIO,pedagio,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,PEQUENO SEGREDO,pequeno segredo,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,QUEBRANDO O TABU,quebrando o tabu,nan,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Hoje Eu Quero Voltar Sozinho,hoje eu quero voltar sozinho,45.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Mae So Ha Uma,mae so ha uma,35.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Vento Seco,vento seco,30.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
,Piripkura,piripkura,25.0,0,,"Festivais_por_obra.xlsx (pesquisa bibliográfica / Claude, mar/2026)"
